sample	date	origin_O2	O2	week	replicate	type
mg1L_4	May-27-2014	low	low	4	1	Metagenome
mt1L_4	May-27-2014	low	low	4	1	Metatranscriptome
mg2L_4	May-27-2014	low	low	4	2	Metagenome
mt2L_4	May-27-2014	low	low	4	2	Metatranscriptome
mg3L_4	May-27-2014	low	low	4	3	Metagenome
mt3L_4	May-27-2014	low	low	4	3	Metatranscriptome
mg4L_4	May-27-2014	low	low	4	4	Metagenome
mt4L_4	May-27-2014	low	low	4	4	Metatranscriptome
mg5L_4	May-27-2014	low	low	4	5	Metagenome
mt5L_4	May-27-2014	low	low	4	5	Metatranscriptome
mg6L_4	May-27-2014	low	low	4	6	Metagenome
mt6L_4	May-27-2014	low	low	4	6	Metatranscriptome
mg7H_4	May-27-2014	high	high	4	1	Metagenome
mt7H_4	May-27-2014	high	high	4	1	Metatranscriptome
mg8H_4	May-27-2014	high	high	4	2	Metagenome
mt8H_4	May-27-2014	high	high	4	2	Metatranscriptome
mg9H_4	May-27-2014	high	high	4	3	Metagenome
mt9H_4	May-27-2014	high	high	4	3	Metatranscriptome
mg10H_4	May-27-2014	high	high	4	4	Metagenome
mt10H_4	May-27-2014	high	high	4	4	Metatranscriptome
mg11H_4	May-27-2014	high	high	4	5	Metagenome
mt11H_4	May-27-2014	high	high	4	5	Metatranscriptome
mg12H_4	May-27-2014	high	high	4	6	Metagenome
mt12H_4	May-27-2014	high	high	4	6	Metatranscriptome
mg13L_5	June-3-2014	low	low	5	1	Metagenome
mt13L_5	June-3-2014	low	low	5	1	Metatranscriptome
mg14L_5	June-3-2014	low	low	5	2	Metagenome
mt14L_5	June-3-2014	low	low	5	2	Metatranscriptome
mg15L_5	June-3-2014	low	low	5	3	Metagenome
mt15L_5	June-3-2014	low	low	5	3	Metatranscriptome
mg16L_5	June-3-2014	low	low	5	4	Metagenome
mt16L_5	June-3-2014	low	low	5	4	Metatranscriptome
mg17L_5	June-3-2014	low	low	5	5	Metagenome
mt17L_5	June-3-2014	low	low	5	5	Metatranscriptome
mg18L_5	June-3-2014	low	low	5	6	Metagenome
mt18L_5	June-3-2014	low	low	5	6	Metatranscriptome
mg19H_5	June-3-2014	high	high	5	1	Metagenome
mt19H_5	June-3-2014	high	high	5	1	Metatranscriptome
mg20H_5	June-3-2014	high	high	5	2	Metagenome
mt20H_5	June-3-2014	high	high	5	2	Metatranscriptome
mg21H_5	June-3-2014	high	high	5	3	Metagenome
mt21H_5	June-3-2014	high	high	5	3	Metatranscriptome
mg22H_5	June-3-2014	high	high	5	4	Metagenome
mt22H_5	June-3-2014	high	high	5	4	Metatranscriptome
mg23H_5	June-3-2014	high	high	5	5	Metagenome
mt23H_5	June-3-2014	high	high	5	5	Metatranscriptome
mg24H_5	June-3-2014	high	high	5	6	Metagenome
mt24H_5	June-3-2014	high	high	5	6	Metatranscriptome
mg25L_6	June-10-2014	low	low	6	1	Metagenome
mt25L_6	June-10-2014	low	low	6	1	Metatranscriptome
mg26L_6	June-10-2014	low	low	6	2	Metagenome
mt26L_6	June-10-2014	low	low	6	2	Metatranscriptome
mg27L_6	June-10-2014	low	low	6	3	Metagenome
mt27L_6	June-10-2014	low	low	6	3	Metatranscriptome
mg28L_6	June-10-2014	low	low	6	4	Metagenome
mt28L_6	June-10-2014	low	low	6	4	Metatranscriptome
mg29L_6	June-10-2014	low	low	6	5	Metagenome
mt29L_6	June-10-2014	low	low	6	5	Metatranscriptome
mg30L_6	June-10-2014	low	low	6	6	Metagenome
mt30L_6	June-10-2014	low	low	6	6	Metatranscriptome
mg31H_6	June-10-2014	high	high	6	1	Metagenome
mt31H_6	June-10-2014	high	high	6	1	Metatranscriptome
mg32H_6	June-10-2014	high	high	6	2	Metagenome
mt32H_6	June-10-2014	high	high	6	2	Metatranscriptome
mg33H_6	June-10-2014	high	high	6	3	Metagenome
mt33H_6	June-10-2014	high	high	6	3	Metatranscriptome
mg34H_6	June-10-2014	high	high	6	4	Metagenome
mt34H_6	June-10-2014	high	high	6	4	Metatranscriptome
mg35H_6	June-10-2014	high	high	6	5	Metagenome
mt35H_6	June-10-2014	high	high	6	5	Metatranscriptome
mg36H_6	June-10-2014	high	high	6	6	Metagenome
mt36H_6	June-10-2014	high	high	6	6	Metatranscriptome
mg37L_7	June-17-2014	low	low	7	1	Metagenome
mt37L_7	June-17-2014	low	low	7	1	Metatranscriptome
mg38L_7	June-17-2014	low	low	7	2	Metagenome
mt38L_7	June-17-2014	low	low	7	2	Metatranscriptome
mg39L_7	June-17-2014	low	low	7	3	Metagenome
mt39L_7	June-17-2014	low	low	7	3	Metatranscriptome
mg40L_7	June-17-2014	low	low	7	4	Metagenome
mt40L_7	June-17-2014	low	low	7	4	Metatranscriptome
mg41L_7	June-17-2014	low	low	7	5	Metagenome
mt41L_7	June-17-2014	low	low	7	5	Metatranscriptome
mg42L_7	June-17-2014	low	low	7	6	Metagenome
mt42L_7	June-17-2014	low	low	7	6	Metatranscriptome
mg43H_7	June-17-2014	high	high	7	1	Metagenome
mt43H_7	June-17-2014	high	high	7	1	Metatranscriptome
mg44H_7	June-17-2014	high	high	7	2	Metagenome
mt44H_7	June-17-2014	high	high	7	2	Metatranscriptome
mg45H_7	June-17-2014	high	high	7	3	Metagenome
mt45H_7	June-17-2014	high	high	7	3	Metatranscriptome
mg46H_7	June-17-2014	high	high	7	4	Metagenome
mt46H_7	June-17-2014	high	high	7	4	Metatranscriptome
mg47H_7	June-17-2014	high	high	7	5	Metagenome
mt47H_7	June-17-2014	high	high	7	5	Metatranscriptome
mg48H_7	June-17-2014	high	high	7	6	Metagenome
mt48H_7	June-17-2014	high	high	7	6	Metatranscriptome
mg49L_8	June-24-2014	low	low	8	1	Metagenome
mt49L_8	June-24-2014	low	low	8	1	Metatranscriptome
mg50L_8	June-24-2014	low	low	8	2	Metagenome
mt50L_8	June-24-2014	low	low	8	2	Metatranscriptome
mg51L_8	June-24-2014	low	low	8	3	Metagenome
mt51L_8	June-24-2014	low	low	8	3	Metatranscriptome
mg52L_8	June-24-2014	low	low	8	4	Metagenome
mt52L_8	June-24-2014	low	low	8	4	Metatranscriptome
mg53L_8	June-24-2014	low	low	8	5	Metagenome
mt53L_8	June-24-2014	low	low	8	5	Metatranscriptome
mg54L_8	June-24-2014	low	low	8	6	Metagenome
mt54L_8	June-24-2014	low	low	8	6	Metatranscriptome
mg55H_8	June-24-2014	high	high	8	1	Metagenome
mt55H_8	June-24-2014	high	high	8	1	Metatranscriptome
mg56H_8	June-24-2014	high	high	8	2	Metagenome
mt56H_8	June-24-2014	high	high	8	2	Metatranscriptome
mg57H_8	June-24-2014	high	high	8	3	Metagenome
mt57H_8	June-24-2014	high	high	8	3	Metatranscriptome
mg58H_8	June-24-2014	high	high	8	4	Metagenome
mt58H_8	June-24-2014	high	high	8	4	Metatranscriptome
mg59H_8	June-24-2014	high	high	8	5	Metagenome
mt59H_8	June-24-2014	high	high	8	5	Metatranscriptome
mg60H_8	June-24-2014	high	high	8	6	Metagenome
mt60H_8	June-24-2014	high	high	8	6	Metatranscriptome
mg61L_9	July-1-2014	low	low	9	1	Metagenome
mt61L_9	July-1-2014	low	low	9	1	Metatranscriptome
mg62L_9	July-1-2014	low	low	9	2	Metagenome
mt62L_9	July-1-2014	low	low	9	2	Metatranscriptome
mg63L_9	July-1-2014	low	low	9	3	Metagenome
mt63L_9	July-1-2014	low	low	9	3	Metatranscriptome
mg64L_9	July-1-2014	low	low	9	4	Metagenome
mt64L_9	July-1-2014	low	low	9	4	Metatranscriptome
mg65L_9	July-1-2014	low	low	9	5	Metagenome
mt65L_9	July-1-2014	low	low	9	5	Metatranscriptome
mg66L_9	July-1-2014	low	low	9	6	Metagenome
mt66L_9	July-1-2014	low	low	9	6	Metatranscriptome
mg67H_9	July-1-2014	high	high	9	1	Metagenome
mt67H_9	July-1-2014	high	high	9	1	Metatranscriptome
mg68H_9	July-1-2014	high	high	9	2	Metagenome
mt68H_9	July-1-2014	high	high	9	2	Metatranscriptome
mg69H_9	July-1-2014	high	high	9	3	Metagenome
mt69H_9	July-1-2014	high	high	9	3	Metatranscriptome
mg70H_9	July-1-2014	high	high	9	4	Metagenome
mt70H_9	July-1-2014	high	high	9	4	Metatranscriptome
mg71H_9	July-1-2014	high	high	9	5	Metagenome
mt71H_9	July-1-2014	high	high	9	5	Metatranscriptome
mg72H_9	July-1-2014	high	high	9	6	Metagenome
mt72H_9	July-1-2014	high	high	9	6	Metatranscriptome
mg73L_10	July-8-2014	low	high	10	1	Metagenome
mt73L_10	July-8-2014	low	high	10	1	Metatranscriptome
mg74L_10	July-8-2014	low	high	10	2	Metagenome
mt74L_10	July-8-2014	low	high	10	2	Metatranscriptome
mg75L_10	July-8-2014	low	high	10	3	Metagenome
mt75L_10	July-8-2014	low	high	10	3	Metatranscriptome
mg76L_10	July-8-2014	low	high	10	4	Metagenome
mt76L_10	July-8-2014	low	high	10	4	Metatranscriptome
mg77L_10	July-8-2014	low	high	10	5	Metagenome
mt77L_10	July-8-2014	low	high	10	5	Metatranscriptome
mg78L_10	July-8-2014	low	high	10	6	Metagenome
mt78L_10	July-8-2014	low	high	10	6	Metatranscriptome
mg79H_10	July-8-2014	high	low	10	1	Metagenome
mt79H_10	July-8-2014	high	low	10	1	Metatranscriptome
mg80H_10	July-8-2014	high	low	10	2	Metagenome
mt80H_10	July-8-2014	high	low	10	2	Metatranscriptome
mg81H_10	July-8-2014	high	low	10	3	Metagenome
mt81H_10	July-8-2014	high	low	10	3	Metatranscriptome
mg82H_10	July-8-2014	high	low	10	4	Metagenome
mt82H_10	July-8-2014	high	low	10	4	Metatranscriptome
mg83H_10	July-8-2014	high	low	10	5	Metagenome
mt83H_10	July-8-2014	high	low	10	5	Metatranscriptome
mg84H_10	July-8-2014	high	low	10	6	Metagenome
mt84H_10	July-8-2014	high	low	10	6	Metatranscriptome
mg85L_11	July-15-2014	low	high	11	1	Metagenome
mt85L_11	July-15-2014	low	high	11	1	Metatranscriptome
mg86L_11	July-15-2014	low	high	11	2	Metagenome
mt86L_11	July-15-2014	low	high	11	2	Metatranscriptome
mg87L_11	July-15-2014	low	high	11	3	Metagenome
mt87L_11	July-15-2014	low	high	11	3	Metatranscriptome
mg88L_11	July-15-2014	low	high	11	4	Metagenome
mt88L_11	July-15-2014	low	high	11	4	Metatranscriptome
mg89L_11	July-15-2014	low	high	11	5	Metagenome
mt89L_11	July-15-2014	low	high	11	5	Metatranscriptome
mg90L_11	July-15-2014	low	high	11	6	Metagenome
mt90L_11	July-15-2014	low	high	11	6	Metatranscriptome
mg91H_11	July-15-2014	high	low	11	1	Metagenome
mt91H_11	July-15-2014	high	low	11	1	Metatranscriptome
mg92H_11	July-15-2014	high	low	11	2	Metagenome
mt92H_11	July-15-2014	high	low	11	2	Metatranscriptome
mg93H_11	July-15-2014	high	low	11	3	Metagenome
mt93H_11	July-15-2014	high	low	11	3	Metatranscriptome
mg94H_11	July-15-2014	high	low	11	4	Metagenome
mt94H_11	July-15-2014	high	low	11	4	Metatranscriptome
mg95H_11	July-15-2014	high	low	11	5	Metagenome
mt95H_11	July-15-2014	high	low	11	5	Metatranscriptome
mg96H_11	July-15-2014	high	low	11	6	Metagenome
mt96H_11	July-15-2014	high	low	11	6	Metatranscriptome
mg97L_12	July-22-2014	low	high	12	1	Metagenome
mt97L_12	July-22-2014	low	high	12	1	Metatranscriptome
mg98L_12	July-22-2014	low	high	12	2	Metagenome
mt98L_12	July-22-2014	low	high	12	2	Metatranscriptome
mg99L_12	July-22-2014	low	high	12	3	Metagenome
mt99L_12	July-22-2014	low	high	12	3	Metatranscriptome
mg100L_12	July-22-2014	low	high	12	4	Metagenome
mt100L_12	July-22-2014	low	high	12	4	Metatranscriptome
mg101L_12	July-22-2014	low	high	12	5	Metagenome
mt101L_12	July-22-2014	low	high	12	5	Metatranscriptome
mg102L_12	July-22-2014	low	high	12	6	Metagenome
mt102L_12	July-22-2014	low	high	12	6	Metatranscriptome
mg103H_12	July-22-2014	high	low	12	1	Metagenome
mt103H_12	July-22-2014	high	low	12	1	Metatranscriptome
mg104H_12	July-22-2014	high	low	12	2	Metagenome
mt104H_12	July-22-2014	high	low	12	2	Metatranscriptome
mg105H_12	July-22-2014	high	low	12	3	Metagenome
mt105H_12	July-22-2014	high	low	12	3	Metatranscriptome
mg106H_12	July-22-2014	high	low	12	4	Metagenome
mt106H_12	July-22-2014	high	low	12	4	Metatranscriptome
mg107H_12	July-22-2014	high	low	12	5	Metagenome
mt107H_12	July-22-2014	high	low	12	5	Metatranscriptome
mg108H_12	July-22-2014	high	low	12	6	Metagenome
mt108H_12	July-22-2014	high	low	12	6	Metatranscriptome
mg109L_13	July-29-2014	low	high	13	1	Metagenome
mt109L_13	July-29-2014	low	high	13	1	Metatranscriptome
mg110L_13	July-29-2014	low	high	13	2	Metagenome
mt110L_13	July-29-2014	low	high	13	2	Metatranscriptome
mg111L_13	July-29-2014	low	high	13	3	Metagenome
mt111L_13	July-29-2014	low	high	13	3	Metatranscriptome
mg112L_13	July-29-2014	low	high	13	4	Metagenome
mt112L_13	July-29-2014	low	high	13	4	Metatranscriptome
mg113L_13	July-29-2014	low	high	13	5	Metagenome
mt113L_13	July-29-2014	low	high	13	5	Metatranscriptome
mg114L_13	July-29-2014	low	high	13	6	Metagenome
mt114L_13	July-29-2014	low	high	13	6	Metatranscriptome
mg115H_13	July-29-2014	high	low	13	1	Metagenome
mt115H_13	July-29-2014	high	low	13	1	Metatranscriptome
mg116H_13	July-29-2014	high	low	13	2	Metagenome
mt116H_13	July-29-2014	high	low	13	2	Metatranscriptome
mg117H_13	July-29-2014	high	low	13	3	Metagenome
mt117H_13	July-29-2014	high	low	13	3	Metatranscriptome
mg118H_13	July-29-2014	high	low	13	4	Metagenome
mt118H_13	July-29-2014	high	low	13	4	Metatranscriptome
mg119H_13	July-29-2014	high	low	13	5	Metagenome
mt119H_13	July-29-2014	high	low	13	5	Metatranscriptome
mg120H_13	July-29-2014	high	low	13	6	Metagenome
mt120H_13	July-29-2014	high	low	13	6	Metatranscriptome
mg121L_14	August-5-2014	low	high	14	1	Metagenome
mt121L_14	August-5-2014	low	high	14	1	Metatranscriptome
mg122L_14	August-5-2014	low	high	14	2	Metagenome
mt122L_14	August-5-2014	low	high	14	2	Metatranscriptome
mg123L_14	August-5-2014	low	high	14	3	Metagenome
mt123L_14	August-5-2014	low	high	14	3	Metatranscriptome
mg124L_14	August-5-2014	low	high	14	4	Metagenome
mt124L_14	August-5-2014	low	high	14	4	Metatranscriptome
mg125L_14	August-5-2014	low	high	14	5	Metagenome
mt125L_14	August-5-2014	low	high	14	5	Metatranscriptome
mg126L_14	August-5-2014	low	high	14	6	Metagenome
mt126L_14	August-5-2014	low	high	14	6	Metatranscriptome
mg127H_14	August-5-2014	high	low	14	1	Metagenome
mt127H_14	August-5-2014	high	low	14	1	Metatranscriptome
mg128H_14	August-5-2014	high	low	14	2	Metagenome
mt128H_14	August-5-2014	high	low	14	2	Metatranscriptome
mg129H_14	August-5-2014	high	low	14	3	Metagenome
mt129H_14	August-5-2014	high	low	14	3	Metatranscriptome
mg130H_14	August-5-2014	high	low	14	4	Metagenome
mt130H_14	August-5-2014	high	low	14	4	Metatranscriptome
mg131H_14	August-5-2014	high	low	14	5	Metagenome
mt131H_14	August-5-2014	high	low	14	5	Metatranscriptome
mg132H_14	August-5-2014	high	low	14	6	Metagenome
mt132H_14	August-5-2014	high	low	14	6	Metatranscriptome
